Date,Open,High,Low,Close,Adj Close,Volume
2007-03-30,4177.669922,4207.759766,4160.350098,4181.029785,4181.029785,0
2007-04-02,4177.310059,4191.759766,4163.770020,4189.549805,4189.549805,0
2007-04-03,4199.540039,4248.069824,4199.540039,4246.299805,4246.299805,0
2007-04-04,4252.709961,4261.830078,4242.049805,4261.830078,4261.830078,0
2007-04-05,4259.979980,4274.169922,4253.790039,4271.540039,4271.540039,0
2007-04-10,4275.680176,4307.660156,4267.009766,4301.470215,4301.470215,0
2007-04-11,4298.240234,4326.700195,4284.919922,4293.200195,4293.200195,0
2007-04-12,4290.109863,4291.100098,4249.299805,4280.020020,4280.020020,0
2007-04-13,4285.560059,4319.279785,4284.029785,4317.350098,4317.350098,0
2007-04-16,4333.950195,4380.520020,4333.390137,4379.250000,4379.250000,0
2007-04-17,4374.359863,4391.279785,4348.620117,4384.379883,4384.379883,0
2007-04-18,4377.779785,4377.779785,4338.509766,4358.950195,4358.950195,0
2007-04-19,4330.359863,4339.930176,4288.109863,4339.930176,4339.930176,0
2007-04-20,4350.669922,4431.330078,4350.669922,4416.790039,4416.790039,0
2007-04-23,4416.069824,4428.419922,4390.939941,4400.120117,4400.120117,0
2007-04-24,4399.169922,4402.859863,4348.689941,4367.830078,4367.830078,0
2007-04-25,4380.589844,4415.959961,4380.589844,4404.439941,4404.439941,0
2007-04-26,4415.819824,4434.060059,4403.060059,4414.209961,4414.209961,0
2007-04-27,4407.700195,4412.910156,4366.850098,4383.129883,4383.129883,0
2007-04-30,4378.250000,4409.419922,4370.270020,4392.339844,4392.339844,0
2007-05-02,4401.939941,4423.839844,4397.339844,4415.479980,4415.479980,0
2007-05-03,4429.500000,4432.169922,4394.189941,4427.319824,4427.319824,0
2007-05-04,4429.279785,4449.330078,4413.040039,4445.589844,4445.589844,0
2007-05-07,4448.060059,4452.819824,4432.879883,4441.310059,4441.310059,0
2007-05-08,4434.959961,4435.600098,4398.009766,4411.319824,4411.319824,0
2007-05-09,null,null,null,null,null,null
2007-05-10,4422.410156,4427.609863,4387.189941,4391.870117,4391.870117,0
2007-05-11,4376.450195,4425.350098,4331.359863,4423.069824,4423.069824,0
2007-05-14,4435.100098,4446.569824,4406.459961,4413.720215,4413.720215,0
2007-05-15,4400.790039,4444.970215,4390.509766,4441.029785,4441.029785,0
2007-05-16,4434.529785,4445.220215,4415.669922,4422.620117,4422.620117,0
2007-05-18,4428.959961,4484.129883,4425.049805,4480.810059,4480.810059,0
2007-05-21,4482.330078,4484.779785,4459.910156,4465.540039,4465.540039,0
2007-05-22,4466.529785,4483.700195,4457.350098,4469.879883,4469.879883,0
2007-05-23,4473.500000,4500.609863,4472.049805,4499.689941,4499.689941,0
2007-05-24,4477.040039,4495.919922,4449.319824,4452.700195,4452.700195,0
2007-05-25,4439.649902,4470.640137,4421.419922,4463.520020,4463.520020,0
2007-05-29,4480.040039,4483.839844,4462.279785,4474.810059,4474.810059,0
2007-05-30,4457.040039,4470.500000,4426.640137,4468.720215,4468.720215,0
2007-05-31,4484.500000,4522.240234,4484.500000,4512.649902,4512.649902,0
2007-06-01,4516.029785,4562.390137,4515.270020,4556.970215,4556.970215,0
2007-06-04,4550.020020,4556.120117,4521.049805,4537.810059,4537.810059,0
2007-06-05,4542.890137,4550.350098,4507.100098,4513.180176,4513.180176,0
2007-06-06,4511.020020,4516.270020,4434.770020,4437.290039,4437.290039,0
2007-06-07,4446.390137,4461.810059,4369.470215,4381.450195,4381.450195,0
2007-06-08,4376.549805,4399.129883,4330.270020,4376.419922,4376.419922,0
2007-06-11,4394.490234,4418.810059,4394.490234,4415.500000,4415.500000,0
2007-06-12,4408.509766,4421.339844,4368.379883,4383.020020,4383.020020,0
2007-06-13,4372.540039,4413.419922,4349.720215,4401.680176,4401.680176,0
2007-06-14,4427.149902,4485.040039,4427.149902,4485.040039,4485.040039,0
2007-06-15,4491.459961,4556.040039,4491.459961,4551.000000,4551.000000,0
2007-06-18,4551.299805,4559.729980,4517.160156,4530.220215,4530.220215,0
2007-06-19,4529.839844,4547.990234,4516.689941,4527.220215,4527.220215,0
2007-06-20,4539.370117,4572.819824,4538.609863,4545.609863,4545.609863,0
2007-06-21,4527.379883,4527.379883,4462.589844,4488.660156,4488.660156,0
2007-06-22,4496.100098,4509.189941,4470.549805,4479.359863,4479.359863,0
2007-06-25,4456.779785,4478.180176,4423.819824,4471.129883,4471.129883,0
2007-06-26,4451.930176,4460.450195,4420.790039,4433.040039,4433.040039,0
2007-06-27,4418.859863,4418.879883,4383.370117,4412.120117,4412.120117,0
2007-06-28,4433.899902,4458.979980,4433.899902,4457.990234,4457.990234,0
2007-06-29,4467.169922,4489.770020,4441.180176,4489.770020,4489.770020,0
2007-07-02,4471.799805,4479.810059,4450.290039,4470.259766,4470.259766,0
2007-07-03,4483.379883,4522.479980,4483.379883,4513.009766,4513.009766,0
2007-07-04,4519.419922,4530.200195,4515.250000,4524.240234,4524.240234,0
2007-07-05,4533.000000,4537.930176,4486.720215,4491.870117,4491.870117,0
2007-07-06,4492.089844,4524.450195,4486.500000,4524.450195,4524.450195,0
2007-07-09,4530.450195,4551.270020,4522.810059,4528.759766,4528.759766,0
2007-07-10,4526.810059,4545.029785,4461.729980,4474.149902,4474.149902,0
2007-07-11,4448.819824,4455.879883,4403.560059,4447.520020,4447.520020,0
2007-07-12,4458.160156,4517.700195,4434.810059,4517.700195,4517.700195,0
2007-07-13,4537.390137,4560.689941,4532.149902,4542.569824,4542.569824,0
2007-07-16,4547.680176,4564.029785,4539.740234,4557.569824,4557.569824,0
2007-07-17,4555.779785,4555.779785,4515.160156,4538.310059,4538.310059,0
2007-07-18,4512.430176,4519.600098,4472.220215,4472.220215,4472.220215,0
2007-07-19,4493.439941,4533.330078,4493.439941,4522.640137,4522.640137,0
2007-07-20,4516.290039,4530.770020,4442.580078,4445.229980,4445.229980,0
2007-07-23,4444.930176,4482.750000,4428.259766,4482.750000,4482.750000,0
2007-07-24,4474.419922,4481.410156,4407.370117,4412.060059,4412.060059,0
2007-07-25,4395.609863,4419.939941,4339.589844,4360.899902,4360.899902,0
2007-07-26,4373.709961,4387.000000,4252.919922,4252.919922,4252.919922,0
2007-07-27,4237.609863,4287.040039,4208.160156,4244.580078,4244.580078,0
2007-07-30,4246.859863,4265.490234,4211.470215,4239.180176,4239.180176,0
2007-07-31,4261.120117,4324.430176,4261.120117,4315.689941,4315.689941,0
2007-08-02,4262.680176,4306.959961,4261.270020,4288.660156,4288.660156,0
